SiteID,1625277,Site Timezone,-5,Data Timezone,-5,Longitude,-88.6715698242,Latitude,46.6908454895
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),air temperature at 100m (C),density - DEPRECATED
2012,1,1,0,30,7.72,-1.27,N/A
2012,1,1,1,30,4.76,-1.34,N/A
2012,1,1,2,30,4.33,-1.3,N/A
2012,1,1,3,30,4.26,-1.2,N/A
2012,1,1,4,30,4.69,-1.3800000000000001,N/A
2012,1,1,5,30,5.41,-1.31,N/A
2012,1,1,6,30,8.19,-1.19,N/A
2012,1,1,7,30,9.23,-1.53,N/A
2012,1,1,8,30,9.89,-2.37,N/A
2012,1,1,9,30,11.19,-3.08,N/A
2012,1,1,10,30,9.49,-3.52,N/A
2012,1,1,11,30,11.28,-3.9,N/A
2012,1,1,12,30,12.51,-4.3100000000000005,N/A
2012,1,1,13,30,12.280000000000001,-4.51,N/A
2012,1,1,14,30,11.74,-4.76,N/A
2012,1,1,15,30,11.1,-4.8100000000000005,N/A
2012,1,1,16,30,10.98,-4.86,N/A
2012,1,1,17,30,12.51,-5.11,N/A
2012,1,1,18,30,12.76,-5.47,N/A
2012,1,1,19,30,12.1,-5.58,N/A
2012,1,1,20,30,11.98,-6.01,N/A
2012,1,1,21,30,13.700000000000001,-6.46,N/A
2012,1,1,22,30,13.02,-7.0200000000000005,N/A
2012,1,1,23,30,12.23,-7.3500000000000005,N/A
2012,1,2,0,30,10.99,-7.7,N/A
2012,1,2,1,30,11.31,-7.92,N/A
2012,1,2,2,30,11.98,-8.56,N/A
2012,1,2,3,30,12.65,-8.790000000000001,N/A
2012,1,2,4,30,10.68,-8.96,N/A
2012,1,2,5,30,10.32,-9.370000000000001,N/A
2012,1,2,6,30,9.26,-9.72,N/A
2012,1,2,7,30,8.57,-9.92,N/A
2012,1,2,8,30,9.8,-10.25,N/A
2012,1,2,9,30,11.01,-10.59,N/A
2012,1,2,10,30,11.72,-10.6,N/A
2012,1,2,11,30,11.99,-10.73,N/A
2012,1,2,12,30,12.27,-10.86,N/A
2012,1,2,13,30,12.11,-11.040000000000001,N/A
2012,1,2,14,30,10.97,-11.11,N/A
2012,1,2,15,30,9.74,-11.31,N/A
2012,1,2,16,30,10.15,-11.42,N/A
2012,1,2,17,30,9.33,-12.32,N/A
2012,1,2,18,30,11.36,-12.27,N/A
2012,1,2,19,30,10.38,-12.530000000000001,N/A
2012,1,2,20,30,10.07,-12.96,N/A
2012,1,2,21,30,10.09,-13.01,N/A
2012,1,2,22,30,8.78,-13.19,N/A
2012,1,2,23,30,7.97,-13.48,N/A
2012,1,3,0,30,6.53,-13.76,N/A
2012,1,3,1,30,6.25,-13.85,N/A
2012,1,3,2,30,6.23,-13.700000000000001,N/A
2012,1,3,3,30,6.24,-14.06,N/A
2012,1,3,4,30,5.61,-13.77,N/A
