SiteID,1625279,Site Timezone,-5,Data Timezone,-5,Longitude,-88.6666259766,Latitude,46.7279396057
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),air temperature at 100m (C),density - DEPRECATED
2012,1,1,0,30,6.47,-1.23,N/A
2012,1,1,1,30,4.33,-1.22,N/A
2012,1,1,2,30,4.24,-1.12,N/A
2012,1,1,3,30,4.15,-1.09,N/A
2012,1,1,4,30,4.74,-1.3,N/A
2012,1,1,5,30,5.57,-1.11,N/A
2012,1,1,6,30,7.67,-1,N/A
2012,1,1,7,30,8.78,-1.33,N/A
2012,1,1,8,30,10.06,-2.12,N/A
2012,1,1,9,30,11.22,-2.87,N/A
2012,1,1,10,30,9.27,-3.2,N/A
2012,1,1,11,30,11.41,-3.62,N/A
2012,1,1,12,30,12.55,-4.07,N/A
2012,1,1,13,30,12.31,-4.3,N/A
2012,1,1,14,30,11.4,-4.55,N/A
2012,1,1,15,30,10.15,-4.61,N/A
2012,1,1,16,30,11.55,-4.69,N/A
2012,1,1,17,30,12.280000000000001,-4.98,N/A
2012,1,1,18,30,12.200000000000001,-5.32,N/A
2012,1,1,19,30,11.08,-5.39,N/A
2012,1,1,20,30,11.55,-5.79,N/A
2012,1,1,21,30,12.72,-6.25,N/A
2012,1,1,22,30,10.96,-6.79,N/A
2012,1,1,23,30,11.25,-7.17,N/A
2012,1,2,0,30,10.98,-7.46,N/A
2012,1,2,1,30,11.6,-7.75,N/A
2012,1,2,2,30,11.19,-8.32,N/A
2012,1,2,3,30,11.02,-8.620000000000001,N/A
2012,1,2,4,30,9.75,-8.78,N/A
2012,1,2,5,30,10.290000000000001,-9.21,N/A
2012,1,2,6,30,8.51,-9.450000000000001,N/A
2012,1,2,7,30,10.34,-9.72,N/A
2012,1,2,8,30,10.790000000000001,-10.08,N/A
2012,1,2,9,30,11.36,-10.39,N/A
2012,1,2,10,30,11.38,-10.43,N/A
2012,1,2,11,30,11.78,-10.52,N/A
2012,1,2,12,30,12.11,-10.64,N/A
