SiteID,1625278,Site Timezone,-5,Data Timezone,-5,Longitude,-88.6690979004,Latitude,46.7093887329
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),air temperature at 100m (C),density - DEPRECATED
2012,1,1,0,30,7.0600000000000005,-1.21,N/A
2012,1,1,1,30,4.4,-1.26,N/A
2012,1,1,2,30,4.22,-1.19,N/A
2012,1,1,3,30,4.24,-1.12,N/A
2012,1,1,4,30,4.6000000000000005,-1.31,N/A
2012,1,1,5,30,5.34,-1.2,N/A
2012,1,1,6,30,7.79,-1.05,N/A
2012,1,1,7,30,8.97,-1.3900000000000001,N/A
2012,1,1,8,30,9.94,-2.2,N/A
2012,1,1,9,30,11.16,-2.93,N/A
2012,1,1,10,30,9.23,-3.33,N/A
2012,1,1,11,30,11.14,-3.71,N/A
2012,1,1,12,30,12.48,-4.14,N/A
2012,1,1,13,30,12.26,-4.36,N/A
2012,1,1,14,30,11.540000000000001,-4.62,N/A
2012,1,1,15,30,10.65,-4.67,N/A
2012,1,1,16,30,11.14,-4.72,N/A
2012,1,1,17,30,12.85,-4.96,N/A
2012,1,1,18,30,12.93,-5.33,N/A
2012,1,1,19,30,11.77,-5.44,N/A
2012,1,1,20,30,11.65,-5.86,N/A
2012,1,1,21,30,14.08,-6.3,N/A
2012,1,1,22,30,11.78,-6.87,N/A
2012,1,1,23,30,11.8,-7.21,N/A
2012,1,2,0,30,10.870000000000001,-7.53,N/A
2012,1,2,1,30,11.5,-7.79,N/A
2012,1,2,2,30,11.56,-8.39,N/A
2012,1,2,3,30,11.69,-8.66,N/A
2012,1,2,4,30,9.8,-8.83,N/A
2012,1,2,5,30,10.11,-9.25,N/A
2012,1,2,6,30,8.44,-9.540000000000001,N/A
2012,1,2,7,30,9.24,-9.78,N/A
2012,1,2,8,30,10.35,-10.120000000000001,N/A
2012,1,2,9,30,11.1,-10.450000000000001,N/A
2012,1,2,10,30,11.53,-10.47,N/A
2012,1,2,11,30,11.85,-10.58,N/A
2012,1,2,12,30,12.21,-10.71,N/A
2012,1,2,13,30,11.84,-10.88,N/A
2012,1,2,14,30,10.68,-10.97,N/A
2012,1,2,15,30,9.89,-11.09,N/A
2012,1,2,16,30,9.63,-11.24,N/A
2012,1,2,17,30,8.69,-12.200000000000001,N/A
2012,1,2,18,30,11.32,-12.09,N/A
2012,1,2,19,30,10.540000000000001,-12.36,N/A
2012,1,2,20,30,10.38,-12.71,N/A
2012,1,2,21,30,10.22,-12.72,N/A
2012,1,2,22,30,8.44,-13.09,N/A
2012,1,2,23,30,7.8100000000000005,-13.450000000000001,N/A
2012,1,3,0,30,6.3100000000000005,-13.67,N/A
2012,1,3,1,30,6.03,-13.81,N/A
2012,1,3,2,30,6.49,-13.33,N/A
2012,1,3,3,30,6.65,-13.51,N/A
2012,1,3,4,30,6.04,-13.47,N/A
2012,1,3,5,30,5.3100000000000005,-14.38,N/A
2012,1,3,6,30,5.15,-15.47,N/A
2012,1,3,7,30,5.73,-14.81,N/A
2012,1,3,8,30,5.69,-15.33,N/A
2012,1,3,9,30,5.62,-15.540000000000001,N/A
2012,1,3,10,30,4.14,-13.6,N/A
2012,1,3,11,30,5.55,-11.58,N/A
2012,1,3,12,30,6.95,-10.07,N/A
2012,1,3,13,30,8.64,-8.97,N/A
2012,1,3,14,30,9.34,-8.03,N/A
2012,1,3,15,30,9.51,-7.48,N/A
2012,1,3,16,30,10.17,-7.17,N/A
2012,1,3,17,30,11.89,-7.33,N/A
2012,1,3,18,30,11.620000000000001,-7.51,N/A
2012,1,3,19,30,10.74,-7.67,N/A
2012,1,3,20,30,11.4,-7.95,N/A
2012,1,3,21,30,12.11,-8.28,N/A
2012,1,3,22,30,11.66,-8.28,N/A
2012,1,3,23,30,10.24,-8.23,N/A
2012,1,4,0,30,8.26,-8.13,N/A
2012,1,4,1,30,8.08,-7.96,N/A
2012,1,4,2,30,7.84,-7.99,N/A
2012,1,4,3,30,6.63,-7.88,N/A
2012,1,4,4,30,6.22,-7.48,N/A
2012,1,4,5,30,6.94,-6.68,N/A
2012,1,4,6,30,8.98,-5.96,N/A
2012,1,4,7,30,10.17,-5.83,N/A
2012,1,4,8,30,9.26,-4.98,N/A
2012,1,4,9,30,8.83,-4.9,N/A
2012,1,4,10,30,6.37,-4.6000000000000005,N/A
2012,1,4,11,30,5.8100000000000005,-3.5700000000000003,N/A
2012,1,4,12,30,6.83,-3.23,N/A
2012,1,4,13,30,6.46,-2.93,N/A
2012,1,4,14,30,6.63,-2.7,N/A
2012,1,4,15,30,5.96,-2.5,N/A
2012,1,4,16,30,6.68,-2.68,N/A
2012,1,4,17,30,10.34,-2.82,N/A
2012,1,4,18,30,9.65,-1.92,N/A
2012,1,4,19,30,8.02,-1.95,N/A
2012,1,4,20,30,8.16,-2.09,N/A
2012,1,4,21,30,7.8,-2.48,N/A
2012,1,4,22,30,7.28,-3.61,N/A
2012,1,4,23,30,6.71,-4.2700000000000005,N/A
2012,1,5,0,30,6.37,-3,N/A
2012,1,5,1,30,5.17,-3.27,N/A
2012,1,5,2,30,3.67,-3.77,N/A
2012,1,5,3,30,2.67,-4.0600000000000005,N/A
2012,1,5,4,30,1.72,-4.8500000000000005,N/A
2012,1,5,5,30,2.06,-4.76,N/A
2012,1,5,6,30,2.56,-4.5200000000000005,N/A
2012,1,5,7,30,2.77,-4.41,N/A
2012,1,5,8,30,3.87,-3.7600000000000002,N/A
2012,1,5,9,30,5.13,-3.85,N/A
2012,1,5,10,30,4.23,-3.64,N/A
2012,1,5,11,30,3.7600000000000002,-2.35,N/A
2012,1,5,12,30,4.0600000000000005,-0.68,N/A
2012,1,5,13,30,4.32,0.89,N/A
2012,1,5,14,30,5.44,2.0100000000000002,N/A
2012,1,5,15,30,7.05,2.7600000000000002,N/A
2012,1,5,16,30,9.49,2.58,N/A
2012,1,5,17,30,10.93,1.82,N/A
2012,1,5,18,30,10.16,1.1400000000000001,N/A
2012,1,5,19,30,9.56,1.31,N/A
2012,1,5,20,30,9.32,1.43,N/A
2012,1,5,21,30,9.61,2.04,N/A
2012,1,5,22,30,9.59,2.64,N/A
2012,1,5,23,30,9.59,2.96,N/A
2012,1,6,0,30,9.11,2.93,N/A
2012,1,6,1,30,9.06,2.81,N/A
2012,1,6,2,30,8.870000000000001,2.77,N/A
2012,1,6,3,30,8.700000000000001,2.48,N/A
2012,1,6,4,30,10.02,2.36,N/A
2012,1,6,5,30,11.34,2.54,N/A
2012,1,6,6,30,10.42,2.04,N/A
2012,1,6,7,30,10.23,1.7,N/A
2012,1,6,8,30,9.76,1.3,N/A
2012,1,6,9,30,7.4,1.11,N/A
2012,1,6,10,30,4.53,1.35,N/A
2012,1,6,11,30,7.43,2.46,N/A
2012,1,6,12,30,6.63,3,N/A
2012,1,6,13,30,6.41,2.73,N/A
2012,1,6,14,30,6.53,2.56,N/A
2012,1,6,15,30,5.89,2.35,N/A
2012,1,6,16,30,4.75,2.31,N/A
2012,1,6,17,30,7.38,1.9000000000000001,N/A
2012,1,6,18,30,9.09,1.27,N/A
2012,1,6,19,30,9.9,0.59,N/A
2012,1,6,20,30,11.59,0.31,N/A
2012,1,6,21,30,11.01,-0.24,N/A
2012,1,6,22,30,6.55,-1.11,N/A
2012,1,6,23,30,8.040000000000001,-1.25,N/A
2012,1,7,0,30,9.200000000000001,-1.34,N/A
2012,1,7,1,30,6.88,-2.2800000000000002,N/A
2012,1,7,2,30,5.97,-3.85,N/A
2012,1,7,3,30,4.21,-4.58,N/A
2012,1,7,4,30,8.11,-4.89,N/A
2012,1,7,5,30,4.76,-5.13,N/A
2012,1,7,6,30,5.66,-5.43,N/A
2012,1,7,7,30,4.8,-5.97,N/A
2012,1,7,8,30,3.27,-6.19,N/A
2012,1,7,9,30,3.52,-5.7700000000000005,N/A
2012,1,7,10,30,3.08,-5.48,N/A
2012,1,7,11,30,5.84,-5.1000000000000005,N/A
2012,1,7,12,30,5.46,-4.84,N/A
2012,1,7,13,30,5.92,-4.89,N/A
2012,1,7,14,30,6.09,-4.79,N/A
2012,1,7,15,30,5.2700000000000005,-5.0200000000000005,N/A
2012,1,7,16,30,3.62,-5.67,N/A
2012,1,7,17,30,7.51,-5.8500000000000005,N/A
2012,1,7,18,30,7.33,-6.48,N/A
