SiteID,1625281,Site Timezone,-5,Data Timezone,-5,Longitude,-88.6616516113,Latitude,46.7650337219
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),air temperature at 100m (C),density - DEPRECATED
2012,1,1,0,30,5.45,-1.42,N/A
2012,1,1,1,30,4.37,-1.1500000000000001,N/A
2012,1,1,2,30,4.23,-0.98,N/A
2012,1,1,3,30,4.29,-1.04,N/A
2012,1,1,4,30,4.78,-1.25,N/A
2012,1,1,5,30,5.26,-0.9400000000000001,N/A
2012,1,1,6,30,7.98,-0.9,N/A
2012,1,1,7,30,8.85,-1.17,N/A
2012,1,1,8,30,9.84,-1.96,N/A
2012,1,1,9,30,10.77,-2.68,N/A
2012,1,1,10,30,9.73,-3.0500000000000003,N/A
2012,1,1,11,30,11.66,-3.5100000000000002,N/A
2012,1,1,12,30,12.44,-3.94,N/A
2012,1,1,13,30,12.18,-4.18,N/A
2012,1,1,14,30,11.17,-4.4,N/A
2012,1,1,15,30,9.91,-4.42,N/A
2012,1,1,16,30,11.98,-4.57,N/A
2012,1,1,17,30,13.200000000000001,-4.76,N/A
2012,1,1,18,30,13.790000000000001,-5.07,N/A
2012,1,1,19,30,11.49,-5.23,N/A
2012,1,1,20,30,11.43,-5.55,N/A
2012,1,1,21,30,11.41,-5.99,N/A
2012,1,1,22,30,11.31,-6.55,N/A
2012,1,1,23,30,11.950000000000001,-6.97,N/A
2012,1,2,0,30,11.71,-7.2700000000000005,N/A
2012,1,2,1,30,11.56,-7.59,N/A
2012,1,2,2,30,11.790000000000001,-8.13,N/A
2012,1,2,3,30,11.09,-8.45,N/A
2012,1,2,4,30,10.38,-8.700000000000001,N/A
2012,1,2,5,30,9.72,-9.07,N/A
2012,1,2,6,30,10.35,-9.31,N/A
2012,1,2,7,30,11.78,-9.57,N/A
2012,1,2,8,30,11.09,-9.99,N/A
2012,1,2,9,30,11.23,-10.27,N/A
2012,1,2,10,30,11.02,-10.33,N/A
2012,1,2,11,30,11.38,-10.38,N/A
2012,1,2,12,30,11.84,-10.5,N/A
2012,1,2,13,30,11.43,-10.67,N/A
2012,1,2,14,30,10.8,-10.78,N/A
2012,1,2,15,30,10.700000000000001,-10.77,N/A
2012,1,2,16,30,7.3100000000000005,-11.01,N/A
2012,1,2,17,30,8.52,-11.97,N/A
2012,1,2,18,30,10.69,-11.78,N/A
2012,1,2,19,30,11.06,-11.76,N/A
2012,1,2,20,30,12.21,-11.870000000000001,N/A
2012,1,2,21,30,10.31,-12.21,N/A
2012,1,2,22,30,7.72,-12.780000000000001,N/A
2012,1,2,23,30,6.73,-13.17,N/A
2012,1,3,0,30,6.82,-13.34,N/A
2012,1,3,1,30,6.86,-13.67,N/A
2012,1,3,2,30,6.69,-13.34,N/A
2012,1,3,3,30,7.13,-13.38,N/A
2012,1,3,4,30,6.37,-12.96,N/A
2012,1,3,5,30,6.08,-13.73,N/A
2012,1,3,6,30,6.5600000000000005,-14.85,N/A
2012,1,3,7,30,6.97,-14.68,N/A
2012,1,3,8,30,7.24,-15.43,N/A
2012,1,3,9,30,5.73,-15.56,N/A
2012,1,3,10,30,3.66,-13.94,N/A
2012,1,3,11,30,4.95,-11.57,N/A
2012,1,3,12,30,6.390000000000001,-10,N/A
2012,1,3,13,30,7.890000000000001,-8.78,N/A
2012,1,3,14,30,8.51,-7.83,N/A
2012,1,3,15,30,8.38,-7.28,N/A
2012,1,3,16,30,9.1,-6.97,N/A
2012,1,3,17,30,10.06,-7.17,N/A
2012,1,3,18,30,10.36,-7.34,N/A
2012,1,3,19,30,10.32,-7.4,N/A
2012,1,3,20,30,10.86,-7.66,N/A
2012,1,3,21,30,10.97,-8.15,N/A
2012,1,3,22,30,10.46,-8.17,N/A
2012,1,3,23,30,9.93,-8.05,N/A
2012,1,4,0,30,8.69,-8.15,N/A
2012,1,4,1,30,7.15,-8.02,N/A
2012,1,4,2,30,7.99,-7.98,N/A
2012,1,4,3,30,7.17,-8.120000000000001,N/A
2012,1,4,4,30,7.87,-6.7,N/A
2012,1,4,5,30,9.33,-5.88,N/A
2012,1,4,6,30,10.09,-4.96,N/A
2012,1,4,7,30,10.56,-4.91,N/A
2012,1,4,8,30,9.27,-4.5200000000000005,N/A
2012,1,4,9,30,8.32,-4.5600000000000005,N/A
2012,1,4,10,30,6.01,-4.32,N/A
2012,1,4,11,30,6.49,-3.16,N/A
2012,1,4,12,30,6.25,-2.96,N/A
2012,1,4,13,30,6.5600000000000005,-2.5300000000000002,N/A
2012,1,4,14,30,6.8500000000000005,-2.41,N/A
2012,1,4,15,30,6.53,-2.2600000000000002,N/A
2012,1,4,16,30,7.12,-2.33,N/A
2012,1,4,17,30,11.540000000000001,-2.32,N/A
2012,1,4,18,30,9.46,-1.81,N/A
2012,1,4,19,30,8.25,-1.97,N/A
2012,1,4,20,30,7.82,-1.52,N/A
2012,1,4,21,30,7.53,-2.86,N/A
2012,1,4,22,30,6.5600000000000005,-2.46,N/A
2012,1,4,23,30,6.23,-1.93,N/A
2012,1,5,0,30,5.53,-3.44,N/A
2012,1,5,1,30,5.12,-3.4,N/A
2012,1,5,2,30,2.96,-4.12,N/A
2012,1,5,3,30,2.37,-4.17,N/A
2012,1,5,4,30,2.2600000000000002,-4.7700000000000005,N/A
2012,1,5,5,30,2.2800000000000002,-4.94,N/A
2012,1,5,6,30,2.73,-4.75,N/A
2012,1,5,7,30,2.8000000000000003,-4.58,N/A
2012,1,5,8,30,3.68,-4.07,N/A
2012,1,5,9,30,4.41,-3.71,N/A
2012,1,5,10,30,3.43,-3.54,N/A
2012,1,5,11,30,3.39,-2.34,N/A
2012,1,5,12,30,3.27,-0.87,N/A
2012,1,5,13,30,3.75,0.72,N/A
2012,1,5,14,30,4.46,2.0300000000000002,N/A
2012,1,5,15,30,5.83,2.7800000000000002,N/A
2012,1,5,16,30,8.53,2.82,N/A
2012,1,5,17,30,10.84,2.07,N/A
2012,1,5,18,30,10.09,1.47,N/A
2012,1,5,19,30,9.36,1.48,N/A
2012,1,5,20,30,9.55,1.3800000000000001,N/A
2012,1,5,21,30,9.99,2.02,N/A
2012,1,5,22,30,10.33,2.72,N/A
2012,1,5,23,30,10.040000000000001,2.95,N/A
2012,1,6,0,30,9.71,2.97,N/A
2012,1,6,1,30,9.66,2.86,N/A
2012,1,6,2,30,9.52,2.82,N/A
2012,1,6,3,30,9.040000000000001,2.48,N/A
2012,1,6,4,30,9.61,2.2800000000000002,N/A
2012,1,6,5,30,11.05,2.38,N/A
2012,1,6,6,30,10.76,2.07,N/A
2012,1,6,7,30,11.32,1.85,N/A
2012,1,6,8,30,10.01,1.42,N/A
2012,1,6,9,30,9.71,1.44,N/A
2012,1,6,10,30,7.73,1.79,N/A
2012,1,6,11,30,8.370000000000001,2.62,N/A
2012,1,6,12,30,8.24,2.96,N/A
2012,1,6,13,30,8.56,2.65,N/A
2012,1,6,14,30,7.890000000000001,2.66,N/A
2012,1,6,15,30,7.83,2.5300000000000002,N/A
2012,1,6,16,30,7.28,2.34,N/A
2012,1,6,17,30,7.86,1.8800000000000001,N/A
2012,1,6,18,30,10.120000000000001,1.31,N/A
2012,1,6,19,30,10.73,0.56,N/A
2012,1,6,20,30,10.28,0,N/A
2012,1,6,21,30,9.370000000000001,-0.31,N/A
2012,1,6,22,30,6.58,-0.96,N/A
2012,1,6,23,30,6.8100000000000005,-1.32,N/A
2012,1,7,0,30,9.6,-1.32,N/A
2012,1,7,1,30,6.49,-2.68,N/A
2012,1,7,2,30,6.23,-3.99,N/A
2012,1,7,3,30,3.87,-4.48,N/A
2012,1,7,4,30,7.99,-4.75,N/A
2012,1,7,5,30,4.8100000000000005,-5.07,N/A
2012,1,7,6,30,4.88,-5.34,N/A
2012,1,7,7,30,4.54,-5.95,N/A
2012,1,7,8,30,2.95,-6,N/A
2012,1,7,9,30,2.79,-5.71,N/A
2012,1,7,10,30,2.31,-5.4,N/A
2012,1,7,11,30,5.59,-4.8,N/A
2012,1,7,12,30,6.46,-4.57,N/A
2012,1,7,13,30,5.91,-4.86,N/A
2012,1,7,14,30,6.37,-4.61,N/A
2012,1,7,15,30,5.74,-4.89,N/A
2012,1,7,16,30,3.95,-5.71,N/A
2012,1,7,17,30,5.55,-5.66,N/A
2012,1,7,18,30,6.15,-6.03,N/A
2012,1,7,19,30,6.28,-6.59,N/A
2012,1,7,20,30,6.640000000000001,-6.33,N/A
2012,1,7,21,30,6.3,-6.0600000000000005,N/A
2012,1,7,22,30,6.03,-6.17,N/A
2012,1,7,23,30,5.82,-6.38,N/A
2012,1,8,0,30,5.34,-7,N/A
2012,1,8,1,30,5.0200000000000005,-6.74,N/A
2012,1,8,2,30,4.82,-6.19,N/A
